,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,31,33,32,29,27,26,25,27,30,30,28,26,26,24,22,28,38,42,38,37,40,44,45,47,49,47,45,46,48,48,46,45,48,52,55,52,52,54,56,57,59,58,60,64,66,67,69,71,71,72
1,31,34,32,28,26,26,27,30,33,32,30,27,25,21,21,32,42,42,37,37,40,45,46,48,48,45,45,47,48,49,48,48,50,52,53,51,53,57,58,58,59,60,61,66,69,70,71,72,73,73
2,26,31,30,27,27,24,25,30,31,33,31,28,25,23,28,37,41,44,43,41,43,47,49,49,48,48,47,47,48,49,50,51,51,51,51,55,57,57,58,60,61,62,64,66,69,73,74,73,73,73
3,25,28,27,23,24,25,29,35,34,32,31,29,27,25,30,39,44,46,47,45,45,47,47,47,48,48,47,48,50,51,52,52,52,52,53,55,57,58,61,62,63,64,66,67,69,73,74,73,73,74
4,24,21,20,21,25,28,31,34,32,30,30,27,25,24,29,38,41,42,44,42,43,46,48,50,52,51,52,54,56,56,56,56,56,56,58,57,56,57,61,63,65,67,68,68,70,73,74,74,75,76
5,22,16,17,21,26,27,28,30,31,31,30,24,22,24,31,37,38,39,41,40,43,47,50,53,53,52,54,58,60,60,59,60,62,62,64,62,59,60,64,66,67,69,69,69,71,73,74,75,76,77
6,18,16,19,23,23,24,29,33,34,33,29,23,23,27,33,36,36,41,42,42,45,48,48,47,47,45,47,50,53,52,52,53,57,59,62,62,62,66,70,70,68,68,69,70,72,74,74,75,76,76
7,14,17,20,25,24,26,32,35,34,33,29,26,28,32,34,33,36,43,41,41,44,45,42,39,39,40,40,42,44,44,43,44,48,50,51,55,58,64,68,69,68,69,70,72,74,74,74,74,75,76
8,13,16,19,26,26,27,30,31,32,32,32,30,32,33,33,34,37,44,39,37,39,42,41,38,39,40,43,42,43,45,45,45,46,48,47,52,55,58,61,64,66,68,70,72,74,74,74,74,75,76
9,14,16,19,26,23,21,25,27,31,33,30,29,30,29,31,34,36,41,43,38,38,44,46,44,43,43,44,42,43,46,48,48,47,48,53,57,59,58,59,61,63,66,70,72,74,74,73,74,76,78
10,14,17,19,20,16,19,24,25,27,28,21,23,29,32,30,30,36,43,42,41,41,43,46,47,45,43,43,44,46,48,50,49,48,48,53,57,59,59,61,63,63,63,67,70,72,72,73,75,77,78
11,13,14,17,18,16,19,24,25,25,24,20,23,29,33,32,31,34,38,39,39,40,41,45,48,48,46,44,46,47,49,52,51,50,51,54,59,62,61,62,62,62,62,64,67,71,73,75,76,76,77
12,14,15,15,18,18,19,24,25,26,23,19,21,27,32,32,30,31,33,37,37,37,37,41,47,48,46,45,47,48,50,51,50,49,50,53,60,64,64,63,62,62,63,63,65,69,73,75,75,76,76
13,15,16,15,19,19,19,21,25,26,24,20,19,23,28,30,30,30,30,33,34,32,31,35,42,45,44,44,46,48,49,50,49,47,48,52,58,63,64,64,64,64,65,65,66,68,72,74,74,75,77
14,14,14,16,19,18,18,21,25,26,22,19,18,20,25,28,29,30,30,29,29,29,28,32,39,42,41,40,43,47,50,51,50,48,49,51,56,60,62,63,64,64,65,67,67,68,70,72,72,74,76
15,14,13,16,17,17,19,23,28,28,21,16,15,19,24,26,28,29,29,29,29,29,30,33,36,38,38,38,43,47,51,53,51,49,50,51,55,57,59,61,62,62,63,65,66,67,69,70,71,72,74
16,15,13,15,18,20,22,24,26,26,19,12,14,20,24,25,26,29,31,31,29,29,32,34,34,35,36,40,44,49,52,53,51,49,50,51,54,56,58,60,62,62,63,63,65,67,68,69,70,72,73
17,14,13,15,19,23,24,20,19,20,16,11,15,21,25,25,26,31,35,33,29,29,32,34,33,34,38,41,45,50,53,54,52,51,52,51,54,56,58,61,63,63,64,64,66,68,68,69,71,72,73
18,16,15,16,20,23,20,15,14,14,12,11,16,23,28,28,29,33,36,34,31,30,31,32,34,38,39,43,47,51,54,54,52,51,52,52,51,53,57,61,63,65,66,65,65,67,69,70,71,72,73
19,16,15,16,19,20,17,13,14,14,11,13,16,23,29,31,33,38,43,39,32,28,30,32,36,41,43,44,48,51,53,54,52,50,51,52,52,54,56,59,62,65,67,64,65,67,69,70,71,71,73
20,15,15,16,18,18,14,12,13,13,10,12,16,24,31,33,35,41,47,41,31,26,30,34,40,45,45,45,48,50,53,54,52,50,50,53,54,55,56,57,60,64,66,64,64,66,69,69,69,70,72
21,14,16,17,16,16,14,12,12,12,11,13,18,26,31,32,33,37,42,37,28,28,34,38,43,47,45,44,47,49,52,54,52,51,51,53,55,56,55,56,58,62,64,64,64,65,67,68,68,69,72
22,14,17,18,15,15,15,12,10,11,12,16,22,29,31,32,32,32,31,31,27,31,38,42,45,46,44,43,46,49,51,53,52,52,53,52,53,55,55,56,58,60,62,63,61,62,64,66,66,69,72
23,15,16,17,14,14,16,13,10,11,13,17,23,28,31,33,35,32,27,29,30,34,38,41,43,44,43,45,47,49,51,53,52,52,53,53,53,55,56,56,57,58,60,60,58,58,60,62,63,67,71
24,15,14,15,14,14,14,13,12,13,14,17,22,27,31,34,36,34,32,35,38,38,37,40,41,43,45,48,49,50,51,52,52,51,52,54,53,54,55,55,55,57,61,59,58,58,59,60,61,65,70
25,16,13,14,14,14,13,13,15,16,15,16,22,28,31,32,33,34,35,42,45,42,37,40,42,44,47,50,50,50,50,52,52,51,51,53,52,53,55,55,55,59,64,61,60,60,61,60,60,65,71
26,18,15,16,14,13,13,14,15,16,13,15,22,28,30,31,34,38,41,46,44,42,42,44,47,49,49,51,49,49,50,51,51,51,52,53,54,54,54,57,59,60,62,61,62,64,63,61,60,65,71
27,18,17,17,16,15,15,14,15,15,13,16,22,27,29,33,39,43,43,45,42,40,41,44,48,50,50,51,49,48,49,50,50,50,51,53,55,56,56,57,58,58,60,63,63,64,64,63,62,65,69
28,19,19,18,17,18,18,15,14,14,13,17,22,27,30,37,45,47,45,43,41,40,42,45,49,50,49,50,49,48,49,50,51,52,53,55,57,57,56,56,57,58,61,61,61,63,64,64,64,67,70
29,18,19,19,18,19,19,15,13,13,14,16,21,27,33,40,47,47,44,43,43,43,44,46,48,48,49,51,50,49,50,52,54,55,56,55,58,58,56,56,57,59,62,60,60,61,64,65,66,68,71
30,18,20,21,20,20,19,16,14,14,14,16,20,27,34,41,45,46,45,45,45,46,46,47,47,49,51,53,52,51,53,55,56,56,57,53,57,58,58,58,58,59,61,61,61,62,64,65,65,68,71
31,19,21,22,21,21,19,16,16,17,15,16,20,27,35,41,44,47,48,45,45,46,46,47,48,51,55,55,55,54,55,55,55,55,55,55,57,58,57,58,58,59,61,61,61,62,64,64,65,68,71
32,18,20,22,21,20,18,17,19,19,16,15,20,28,35,42,46,49,50,46,44,45,48,50,51,53,55,56,57,57,56,54,54,54,55,58,59,57,56,57,58,60,62,59,59,60,63,65,65,68,71
33,16,16,20,19,18,17,18,22,21,17,13,20,28,35,42,48,50,48,47,45,46,50,54,55,54,53,55,57,58,57,54,53,55,57,57,58,57,56,57,59,59,61,60,59,61,64,66,66,68,71
